Title,Author,Category
Flow - the psychology of optimal experience,Mihaly Cshikszentmihalyi,Psychology & Human Nature
The Road to Character,David Brooks,Psychology & Human Nature
Why we Sleep - Unlocking the power of sleep and dreams,"Matthew Walker, PhD",Psychology & Human Nature
The Happiness Files. Insights on Work and Life,Arthur C. Brooks,Psychology & Human Nature
The 48 Laws of Power,Robert Greene,Psychology & Human Nature
Nie Mnie Nie Złamie,David Goggins,Psychology & Human Nature
Emocje,Leonard Mlodinow,Psychology & Human Nature
The Yes Brain - Mózg na tak,Daniel J. Siegel,Psychology & Human Nature
The Blue Zones Challenge,Dan Buettner,Psychology & Human Nature
Emotional First Aid,Guy Winch,Psychology & Human Nature
Mindset. The New Psychology of Success,Carol S. Dweck,Psychology & Human Nature
A Calendar of Wisdom,Leo Tolstoy,Psychology & Human Nature
Drive. A Surprising Truth About What Motivates Us.,Daniel H. Pink,Psychology & Human Nature
Dream the Impossible Dream. Volume Two,Gavin Aung Than,Psychology & Human Nature
Zen Pencils. Cartoon Quotes From Inspirational Folks.,Gavin Aung Than,Psychology & Human Nature
Human Hacking,Christopher Hadnagy,Psychology & Human Nature
Hidden Potential,Adam Grant,Psychology & Human Nature
How to Know a Person,David Brooks,Psychology & Human Nature
Arete. Odwaga bycia sobą,Brian Johnson,Psychology & Human Nature
Grit. Why passion and resilience are the secrets to success,Angela Duckworth,Psychology & Human Nature
Outliers. The Story of Success,Malcolm Gladwell,Psychology & Human Nature
Antifragile. Things that gain from disorder,Nassim Nicholas Taleb,Psychology & Human Nature
Star With Why,Simon Sinek,Psychology & Human Nature
Sztuka Miłości,Alan Loy McGinnis,Psychology & Human Nature
Games People Play. The Psychology of Human Relationships,Eric Berne,Psychology & Human Nature
Listy do Przyjaciela,Anthony Robbins,Psychology & Human Nature
The Little Book of Ikigai,Ken Mogi,Psychology & Human Nature
The 7 Habits of Highly effective People,Stephen R. Covey,Psychology & Human Nature
The 8 Traits of Successful People Have in Common,Richard St. John,Psychology & Human Nature
Daring Greately,Brene Brown,Psychology & Human Nature
The Art of Manliness,Brett and Kate McKay,Psychology & Human Nature
"Cues. Small signals, incredible impact",Vanessa van Edwards,Psychology & Human Nature
Atlas of the Heart,Brene Brown,Psychology & Human Nature
Gdzie ci mężczyźni,"Philip Zimbardo, Nikita S. Coulombe",Psychology & Human Nature
The Power of Fun,Catherine Price,Psychology & Human Nature
The Good Life,"Robert Waldinger, Marc Schulz",Psychology & Human Nature
Manvotionals,Brett and Kate McKay,Psychology & Human Nature
The Obstacle is the Way,Ryan Holiday,Psychology & Human Nature
The Book of Awakening,Mark Nepo,Psychology & Human Nature
"Right Thing, Right Now",Ryan Holiday,Psychology & Human Nature
Courage is calling,Ryan Holiday,Psychology & Human Nature
How to Decide,Annie Duke,Psychology & Human Nature
Kochaj wystarczająco dobrze,"Agnieszka Jucewicz, Grzgorz Sroczyński",Psychology & Human Nature
The Happiness Trap,Russ Harris,Psychology & Human Nature
Mattering: The Secret to a Life of Deep Connection and Purpose,Jennifer Breheny Wallace,Psychology & Human Nature
Don't Sweat the Small Stuff and it's all small stuff,Richard Carlson,Practical Skills & Productivity
Think Again,Adam Grant,Practical Skills & Productivity
Awaken the Giant Within,Anthony Robbins,Practical Skills & Productivity
Leaders Eat Last,Simon Sinek,Practical Skills & Productivity
The Art of War,Sun Tzu,Practical Skills & Productivity
Księga Pięciu Kręgów,Gorin-No Sho,Practical Skills & Productivity
Game Plan for Life,Joe Gibbs,Practical Skills & Productivity
Johnny Bunko. The Last Career Guide You'll Ever Need.,Daniel H. Pink,Practical Skills & Productivity
Moonshot. A NASA Astronaut's guide to Achieving the Impossible.,Mike Massimino,Practical Skills & Productivity
Be Useful. Seven Tools for Life.,Arnold Schwarzenegger,Practical Skills & Productivity
The Seven-Day Weekend,Ricardo Semler,Practical Skills & Productivity
Think and grow rich,Napoleon Hill,Practical Skills & Productivity
The 8th Habit. From Effectiveness to Greatness,Stephen R. Covey,Practical Skills & Productivity
4-godzinny tydzień pracy,Timothy Ferriss,Practical Skills & Productivity
Atomic Habits,James Clear,Practical Skills & Productivity
Death by comfort,Paul Taylor,Practical Skills & Productivity
The 5 Types of Wealth,Sahil Bloom,Practical Skills & Productivity
Captivate. The Science of Succeeding with People,Vanessa Van Edwards,Practical Skills & Productivity
No Sweat,Michelle Segar,Practical Skills & Productivity
Success is a numbers game,Kyle Austin Young,Practical Skills & Productivity
No Country for Old Man,Cormac McCarthy,Misc
Slaughterhouse-Five,Kurt Vonnegut,Misc
The Aviator,Eugene Vodolazkin,Misc
Man's Search for Meaning,Viktor E. Frankl,Philosophy & Meaning
Meditations,"Marcus Aurelius, Gregory Hays",Philosophy & Meaning
The Daily Stoic,Ryan Holiday,Philosophy & Meaning
21 lekcji na XXI wiek,Yuval Noah Harari,Philosophy & Meaning
Wisdom takes Work,Ryan Holiday,Philosophy & Meaning
$100M Offers,Alex Hormozi,Money & Business
$100M Leads,Alex Hormozi,Money & Business
Peak - Secrets from the science of expertise,Anders Ericsson,Learning & Education
Harvardzki poradnik skutecznego uczenia się,Peter C. Brown,Learning & Education
Włam się do Mózgu,Radek Kotarski,Learning & Education
Wise-Up. The Challenge of Lifelong Learning,Guy Claxton,Learning & Education
Outsmart Your Brain,Daniel T. Willingham,Learning & Education
Uchwycić Żywioł,Ken Robinson,Learning & Education
The Art of Learning,Sim Stovall,Learning & Education
Make it stick,Peter C. Brown,Learning & Education
Teach Yourself How to Learn,Saundra Yancy McGuire,Learning & Education
Jak się uczymy,Stanislas Dehaene,Learning & Education
Potęga Checklisty,Atul Gawande,Learning & Education
Zdolny do wszystkiego,Tomasz Działowy,Learning & Education
Nic bardziej mylnego,Radek Kotarski,Learning & Education
Live Life in Crescendo,"Stephen R. Covey, Cynthia Covey Haller",Faith & Worldview
Rozmowy Tuskulańskie,Cyceron,Faith & Worldview
Bible,Jehovah God,Faith & Worldview
Noise. Living and leading when nobody can focus,Joseph McCormack,Language & Communication
Brief. Make a bigger impact by saying less.,Joseph McCormack,Language & Communication
Fluent Forever,Gabriel Wyner,Language & Communication
Relacje Interpersonalne. Proces Porozumiewania się,Ronald B. Adler,Language & Communication
Influence. The Psychology of Persuasion.,Robert B. Cialdini,Language & Communication
How to Win Friends and Influence People,Dale Carnagie,Language & Communication
Supercommunicators,Charles Duhigg,Language & Communication
Ted Talks,Chris Anderson,Language & Communication
Rhetoric,Aristotle,Language & Communication
How to be heard,Julian Treasure,Language & Communication
The Story Advantage,LJ Bloom,Language & Communication
Mind Maps for Business,Tony Buzan,Language & Communication
Humans of New York,Brandon Stanton,Biographies
Droga do Nobla - Historia Marii Skłodowskiej Curie,Ewa Nowak,Biographies
Leonardo da Vinci,Walter Isaacson,Biographies
Steve Jobs,Walter Isaacson,Biographies
Einstein,Walter Isaacson,Biographies
Benjamin Franklin,Walter Isaacson,Biographies
"Pan raczy żartować, panie Feynman!",Richard P. Feynman,Biographies
"A co Ciebie obchodzi, co myślą inni?",Richard P. Feynman,Biographies
My Inventions. The Autobiography of Nikola Tesla,Nikola Tesla,Science & Nature
A Short History of Nearly Everything,Bill Bryson,Science & Nature
The Body. A guide for occupants.,Bill Bryson,Science & Nature
Tytani. Wybitni naukowcy i wizjonerzy o granicach poznania,Maciej Kawecki,Science & Nature
Kosmiczne Zachwyty,Neil deGrasse Tyson,Science & Nature
Astrofizyka dla Zabieganych,Neil deGrasse Tyson,Science & Nature
Outlive. The Science & Art of Longevity.,Peter Attia,Science & Nature
Podręcznik Projektowania Architektoniczno-Budowlanego,Neufert,Science & Nature
The Privileged Planet,Guillermo Gonzalez,Science & Nature
"Odporność. Podróż w głąb tajemniczego układu, który utrzymuje nas przy życiu",Philipp Dettmer,Science & Nature
Niewidzialna obrona. Przełomowe odkrycia dotyczące układu immunologicznego,Matt Richtel,Science & Nature
Przepis na człowieka,Dawid Myśliwiec,Science & Nature
Tak działa mózg,Asia Podgórska,Science & Nature
